record started at: 04-26-19 12:52:11

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH

1 1 29.41 0:00:00:00.34/1000 0:00:00:00.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
2 2 29.85 0:00:00:00.67/1000 0:00:00:00.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
3 2 30.00 0:00:00:00.100/1000 0:00:00:00.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
4 4 29.85 0:00:00:00.134/1000 0:00:00:00.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
5 5 29.94 0:00:00:00.167/1000 0:00:00:00.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
6 5 30.00 0:00:00:00.200/1000 0:00:00:00.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
7 7 29.91 0:00:00:00.234/1000 0:00:00:00.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
8 8 29.96 0:00:00:00.267/1000 0:00:00:00.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
9 8 30.00 0:00:00:00.300/1000 0:00:00:00.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
10 10 29.94 0:00:00:00.334/1000 0:00:00:00.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
11 11 29.97 0:00:00:00.367/1000 0:00:00:00.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
12 11 30.00 0:00:00:00.400/1000 0:00:00:00.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
13 13 29.95 0:00:00:00.434/1000 0:00:00:00.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
14 14 29.98 0:00:00:00.467/1000 0:00:00:00.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
15 14 30.00 0:00:00:00.500/1000 0:00:00:00.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
16 16 29.96 0:00:00:00.534/1000 0:00:00:00.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
17 17 29.98 0:00:00:00.567/1000 0:00:00:00.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
18 17 30.00 0:00:00:00.600/1000 0:00:00:00.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
19 19 29.97 0:00:00:00.634/1000 0:00:00:00.600/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
20 20 29.99 0:00:00:00.667/1000 0:00:00:00.634/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
21 20 30.00 0:00:00:00.700/1000 0:00:00:00.667/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
22 22 29.97 0:00:00:00.734/1000 0:00:00:00.700/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
23 23 29.99 0:00:00:00.767/1000 0:00:00:00.734/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
24 23 30.00 0:00:00:00.800/1000 0:00:00:00.767/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
25 25 29.98 0:00:00:00.834/1000 0:00:00:00.800/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
26 26 29.99 0:00:00:00.867/1000 0:00:00:00.834/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
27 26 30.00 0:00:00:00.900/1000 0:00:00:00.867/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
28 28 29.98 0:00:00:00.934/1000 0:00:00:00.900/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
29 29 29.99 0:00:00:00.967/1000 0:00:00:00.934/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
30 29 30.00 0:00:00:01.00/1000 0:00:00:00.967/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
31 31 29.98 0:00:00:01.34/1000 0:00:00:01.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
32 32 29.99 0:00:00:01.67/1000 0:00:00:01.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
33 32 30.00 0:00:00:01.100/1000 0:00:00:01.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
34 34 29.98 0:00:00:01.134/1000 0:00:00:01.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
35 35 29.99 0:00:00:01.167/1000 0:00:00:01.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
36 35 30.00 0:00:00:01.200/1000 0:00:00:01.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
37 37 29.98 0:00:00:01.234/1000 0:00:00:01.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
38 38 29.99 0:00:00:01.267/1000 0:00:00:01.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
39 38 30.00 0:00:00:01.300/1000 0:00:00:01.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
40 40 29.99 0:00:00:01.334/1000 0:00:00:01.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
41 41 29.99 0:00:00:01.367/1000 0:00:00:01.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
42 41 30.00 0:00:00:01.400/1000 0:00:00:01.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
43 43 29.99 0:00:00:01.434/1000 0:00:00:01.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
44 44 29.99 0:00:00:01.467/1000 0:00:00:01.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
45 44 30.00 0:00:00:01.500/1000 0:00:00:01.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
46 46 29.99 0:00:00:01.534/1000 0:00:00:01.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
47 47 29.99 0:00:00:01.567/1000 0:00:00:01.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
48 47 30.00 0:00:00:01.600/1000 0:00:00:01.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
49 49 29.99 0:00:00:01.634/1000 0:00:00:01.600/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
50 50 29.99 0:00:00:01.667/1000 0:00:00:01.634/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
51 50 30.00 0:00:00:01.700/1000 0:00:00:01.667/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
52 52 29.99 0:00:00:01.734/1000 0:00:00:01.700/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
53 53 29.99 0:00:00:01.767/1000 0:00:00:01.734/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
54 53 30.00 0:00:00:01.800/1000 0:00:00:01.767/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
55 55 29.99 0:00:00:01.834/1000 0:00:00:01.800/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
56 56 29.99 0:00:00:01.867/1000 0:00:00:01.834/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
57 56 30.00 0:00:00:01.900/1000 0:00:00:01.867/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
58 58 29.99 0:00:00:01.934/1000 0:00:00:01.900/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
59 59 29.99 0:00:00:01.967/1000 0:00:00:01.934/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
60 59 30.00 0:00:00:02.00/1000 0:00:00:01.967/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
61 61 29.99 0:00:00:02.34/1000 0:00:00:02.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
62 62 30.00 0:00:00:02.67/1000 0:00:00:02.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
63 62 30.00 0:00:00:02.100/1000 0:00:00:02.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
64 64 29.99 0:00:00:02.134/1000 0:00:00:02.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
65 65 30.00 0:00:00:02.167/1000 0:00:00:02.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
66 65 30.00 0:00:00:02.200/1000 0:00:00:02.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
67 67 29.99 0:00:00:02.234/1000 0:00:00:02.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
68 68 30.00 0:00:00:02.267/1000 0:00:00:02.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
69 68 30.00 0:00:00:02.300/1000 0:00:00:02.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
70 70 29.99 0:00:00:02.334/1000 0:00:00:02.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
71 71 30.00 0:00:00:02.367/1000 0:00:00:02.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
72 71 30.00 0:00:00:02.400/1000 0:00:00:02.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
73 73 29.99 0:00:00:02.434/1000 0:00:00:02.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
74 74 30.00 0:00:00:02.467/1000 0:00:00:02.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
75 74 30.00 0:00:00:02.500/1000 0:00:00:02.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
76 76 29.99 0:00:00:02.534/1000 0:00:00:02.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
77 77 30.00 0:00:00:02.567/1000 0:00:00:02.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
78 77 30.00 0:00:00:02.600/1000 0:00:00:02.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
79 79 29.99 0:00:00:02.634/1000 0:00:00:02.600/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
80 80 30.00 0:00:00:02.667/1000 0:00:00:02.634/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
81 80 30.00 0:00:00:02.700/1000 0:00:00:02.667/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
82 82 29.99 0:00:00:02.734/1000 0:00:00:02.700/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
83 83 30.00 0:00:00:02.767/1000 0:00:00:02.734/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
84 83 30.00 0:00:00:02.800/1000 0:00:00:02.767/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
85 85 29.99 0:00:00:02.834/1000 0:00:00:02.800/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
86 86 30.00 0:00:00:02.867/1000 0:00:00:02.834/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
87 86 30.00 0:00:00:02.900/1000 0:00:00:02.867/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
88 88 29.99 0:00:00:02.934/1000 0:00:00:02.900/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
89 89 30.00 0:00:00:02.967/1000 0:00:00:02.934/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
90 89 30.00 0:00:00:03.00/1000 0:00:00:02.967/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
91 91 29.99 0:00:00:03.34/1000 0:00:00:03.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
92 92 30.00 0:00:00:03.67/1000 0:00:00:03.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
93 92 30.00 0:00:00:03.100/1000 0:00:00:03.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
94 94 29.99 0:00:00:03.134/1000 0:00:00:03.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
95 95 30.00 0:00:00:03.167/1000 0:00:00:03.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
96 95 30.00 0:00:00:03.200/1000 0:00:00:03.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
