Onset (s),Offset (s)
0.067,2.434
2.567,6.8
6.9,13.234
13.3,15.767
15.8,15.934
15.967,18.7
18.8,22.134
22.2,30.767
30.834,32.2
32.334,35.134
35.2,38.067
38.167,39.667
39.734,41.934
42.0,42.1
42.167,47.2
47.3,57.767
57.834,66.934
67.067,69.867
70.034,78.8
78.867,81.767
81.9,87.467
87.534,90.167
90.367,95.834
95.967,96.767
96.9,98.667
98.834,100.567
100.667,101.767
101.867,106.267
106.334,119.967
120.034,121.667
121.734,129.667
129.767,136.467
136.567,141.667
141.734,150.4
150.467,153.667
153.767,153.9
154.0,161.467
161.567,165.5
165.667,173.934
174.0,181.967
182.034,188.467
188.567,189.334
189.434,191.934
192.034,196.367
196.467,214.334
214.4,221.267
221.367,226.834
226.9,229.9
230.0,239.767
239.834,243.7
243.8,244.234
244.334,248.034
248.1,253.3
253.434,256.334
256.5,257.767
257.934,264.267
264.334,266.167
266.334,271.2
271.3,273.267
273.367,282.8
282.867,284.4
284.467,286.434
286.567,289.034
289.167,290.5
290.6,295.267
295.334,297.6
297.667,301.567
301.7,307.067
307.2,308.067
308.367,308.7
308.967,309.867
310.067,310.267
310.3,312.667
312.767,313.334
313.5,313.6
314.0,314.1
314.167,315.667
315.734,340.967
341.034,344.334
344.4,352.367
352.467,355.8
355.867,363.9
363.967,379.667
379.767,382.234
382.334,385.4
385.467,385.967
386.034,388.0
388.067,417.267
417.434,418.1
418.267,439.034
439.1,452.9
452.967,466.034
466.134,468.0
468.067,477.067
477.2,477.667
477.7,477.8
477.867,490.2
490.267,490.867
490.934,491.4
491.8,492.8
492.867,493.134
493.734,493.934
494.067,494.834
495.034,495.6
495.7,495.867
496.034,496.3
496.334,496.5
496.567,496.967
497.067,497.267
498.434,498.567
498.6,498.834
498.867,499.934
501.4,502.467
502.534,503.567
503.634,505.334
505.4,505.834
506.534,506.667
506.7,508.167
508.4,508.567
508.6,508.734
509.234,510.167
510.3,514.434
514.467,514.6
514.7,514.9
515.034,518.767
518.9,523.067
523.234,526.2
526.334,531.567
531.6,531.7
531.734,537.934
538.067,540.667
540.8,544.7
544.8,546.034
546.134,547.934
548.0,563.0
563.167,566.334
566.4,567.1
567.267,569.434
569.567,574.5
574.6,577.167
577.267,595.034
595.067,595.167
595.2,595.367
595.434,597.9
597.967,598.167
598.234,601.134
601.267,606.934
607.034,609.634
609.8,615.034
615.1,617.9
618.034,619.167
619.2,619.467
619.5,626.267
626.3,626.4
626.434,628.867
628.967,634.767
634.834,637.067
637.2,644.667
644.734,654.3
654.4,662.1
662.167,668.2
668.3,673.934
674.0,679.534
679.667,682.0
682.034,682.134
682.167,685.567
685.634,688.767
688.867,703.2
703.267,705.134
705.2,706.134
706.2,714.0
714.1,714.5
714.534,722.667
722.834,722.934
723.0,744.134
744.7,744.967
745.267,745.567
745.9,746.134
746.4,748.467
748.534,750.6
750.634,750.834
750.9,751.234
751.5,751.667
752.167,752.667
752.734,752.934
753.334,753.5
753.7,753.934
754.0,754.1
754.334,754.734
755.034,755.267
755.634,756.034
756.1,758.3
758.367,760.867
760.9,761.0
761.067,761.267
761.4,761.567
761.8,762.234
762.4,762.8
762.834,762.934
762.967,770.834
770.867,771.7
771.8,771.934
771.967,772.167
772.234,772.734
772.834,775.4
775.467,776.567
776.6,776.734
776.767,779.667
779.867,780.134
780.234,780.5
780.534,780.634
780.667,781.1
781.267,784.867
785.0,785.1
785.367,786.167
786.267,786.5
786.667,788.067
788.7,789.434
789.467,790.0
790.067,790.5
790.767,790.934
791.0,791.934
792.3,792.5
792.6,792.7
792.834,793.134
793.2,793.367
793.667,795.4
795.567,802.8
802.934,803.667
803.8,806.167
806.334,807.534
807.6,814.234
814.334,818.667
818.934,822.1
822.167,825.834
825.9,826.0
826.067,826.767
826.834,827.634
827.8,829.667
829.767,831.467
831.667,837.734
837.867,838.234
838.367,838.567
838.667,840.167
840.2,840.334
840.367,848.867
848.934,849.3
849.434,854.067
854.4,855.3
855.367,857.0
857.034,858.267
858.4,862.967
863.067,864.3
864.367,870.034
870.1,871.1
871.2,879.167
879.334,885.634
885.7,889.534
889.6,892.5
892.567,893.367
893.467,895.9
895.967,897.267
897.434,913.167
913.234,916.967
917.1,934.267
934.334,941.134
941.234,941.9
942.034,946.767
946.9,950.334
950.434,951.767
951.834,953.3
953.434,961.1
961.2,962.034
962.1,963.867
964.0,965.8
965.867,976.5
976.634,982.567
982.667,985.467
985.567,995.7
995.834,997.567
997.8,1000.667
1000.867,1001.767
1001.8,1001.9
1001.967,1009.234
1009.3,1012.167
1012.3,1014.334
1014.4,1015.5
1015.6,1015.867
1015.9,1016.567
1016.634,1017.834
1017.9,1020.234
1020.367,1021.634
1021.767,1026.467
1026.534,1028.967
1029.034,1030.467
1030.534,1033.267
1033.334,1035.2
1035.334,1037.367
1037.467,1042.767
1042.867,1051.867
1051.934,1057.134
1057.167,1057.267
1057.334,1065.0
1065.1,1066.834
1066.967,1070.5
1070.634,1071.4
1071.534,1078.467
1078.634,1083.367
1083.467,1090.034
1090.167,1091.834
1091.9,1092.667
1092.734,1094.434
1094.5,1096.8
1096.834,1097.734
1098.2,1098.467
1098.567,1099.467
1099.5,1099.7
1100.267,1100.634
1100.667,1100.967
1101.034,1102.6
1102.667,1102.867
1102.9,1103.034
1103.334,1103.567
1103.634,1103.834
1103.867,1104.234
1104.334,1105.034
1105.1,1105.3
1105.734,1106.067
1106.1,1106.234
1106.267,1106.634
1106.667,1106.834
1106.9,1107.234
1107.334,1107.634
1107.667,1107.767
1107.9,1108.1
1108.134,1109.5
1109.7,1110.5
1110.6,1110.7
1110.734,1111.167
1111.2,1111.334
1111.4,1111.634
1111.734,1111.867
1111.9,1112.1
1112.434,1112.767
1112.8,1112.9
1113.134,1113.334
1113.367,1113.534
1113.567,1113.834
1113.867,1113.967
1114.267,1114.6
1114.634,1114.834
1114.934,1115.034
1115.167,1115.267
1115.434,1115.567
1115.6,1115.767
1116.034,1116.567
1116.734,1116.834
1117.034,1117.2
1117.3,1117.6
1117.634,1117.834
1117.967,1118.1
1118.4,1118.667
1118.8,1118.934
1119.0,1119.367
1119.434,1119.567
1119.6,1119.7
1119.734,1120.4
1120.667,1122.334
1122.5,1123.0
1123.134,1123.434
1123.6,1124.034
1124.167,1124.5
1125.267,1125.467
1125.567,1126.534
1126.7,1126.934
1127.0,1127.5
1127.567,1128.834
1128.9,1129.034
1129.1,1129.234
1129.3,1129.9
1129.934,1130.234
1130.667,1130.767
1130.8,1130.9
1131.034,1132.2
1132.234,1132.8
1132.9,1133.467
1133.534,1133.9
1134.0,1135.3
1135.5,1135.734
1136.2,1137.867
1138.034,1138.267
1138.3,1138.4
1138.767,1139.1
1139.134,1139.367
1139.4,1139.734
1139.9,1140.267
1140.4,1141.467
1141.5,1141.934
1142.1,1143.767
1143.9,1144.1
1144.134,1144.3
1144.367,1144.467
1144.6,1144.8
1144.834,1145.0
1145.2,1145.434
1146.667,1147.0
1147.134,1147.334
1147.4,1147.534
1147.867,1148.734
1148.8,1149.134
1149.2,1149.667
1149.734,1150.067
1150.1,1150.2
1150.267,1151.9
1152.067,1152.234
